Big Model,Small Model,Dataset,Estimator,HC_File,Pearson_Max_Per_Row_Big,Pearson_Max_Per_Row_Small,Pearson_Max_Per_Row_Diff,Difference_Pearson_Max_Per_Row,Spearman_Max_Per_Row_Big,Spearman_Max_Per_Row_Small,Spearman_Max_Per_Row_Diff,Difference_Spearman_Max_Per_Row,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_Max_Per_Row_Diff,Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GMM,hc_values_per_expert_hat_1_new.parquet,0.07142964967305569,0.07483018221699701,-0.01914359303253694,0.09057324270559264,0.06827549849731272,0.07204377542504696,-0.010176601291719035,0.07845209978903175,0.06561395287084362,0.06923830534174012,-0.01956160635517369,0.09113115101981778,0.08547757369434222,0.09365595897161075,0.08877928043972566,-0.0457581437216696,-0.047331446306406164,0.08420902486676639,0.07704636627460648,0.0972691546169128,0.09000409539164624,-0.07256388805907843,-0.07047768303467407,1.1286287412697225,1.0698657614074396
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GMM,hc_values_map_agg_hat_1_new.parquet,0.04406891881315852,0.05023626179161917,-0.027913035064494964,0.07198195387765348,0.06026804286803373,0.06657047120720554,-0.02228735239110613,0.08255539525913985,0.09244752649942303,0.09384644670099898,-0.012985826396079286,0.06823807173156521,0.12455946244102889,0.07549255301648913,0.12075666561913927,-0.05942554429060427,-0.02884162451002253,-0.010112165278257874,0.119257302214551,-0.003841937971626099,0.12454334437905146,-0.023866308845275526,-0.0474847602187264,2.9335551864912675,2.947700122786233
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GMM,hc_values_map_agg_standard_1_new.parquet,-0.00591410256383801,0.003174048042747188,-0.03549045487549583,0.029576352311657825,0.026112652004081485,0.037041941640963555,-0.03415468204710117,0.060267334051182654,0.047888679339323906,0.052825980386728866,-0.02339526761559842,0.00501127048833125,0.07291437316046971,0.019151286707804308,0.0747324345423729,-0.06819605057623615,-0.03587994193937319,-0.1034628819667063,0.06212413076138041,-0.09828263342187632,0.06629948105616736,0.0009294540342815964,-0.030565233524702407,3.6291082446754013,3.570168489879587
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GLM,hc_values_per_expert_standard_1_new.parquet,-0.03783805430554609,-0.034712156649482726,-0.009356038496597533,-0.02848201580894856,-0.0580164870641909,-0.05622651138129019,-0.0047674636339289376,-0.053249023430261964,-0.03501037693759621,-0.03105334992465176,-0.012883544065072229,-0.008780245402402333,-0.003917721301253133,-0.008009465010947183,-0.001834185312953383,-0.0003482023913997704,-0.008323323891692205,0.004297665503037388,-0.012827935138942256,0.01287454887500332,-0.006509761075943733,-0.03658189445347321,-0.023482773037835213,0.8973612856844959,0.8531690153930744
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GLM,hc_values_per_expert_hat_1_new.parquet,-0.01330220948487354,-0.009716428890234783,-0.013129529378532442,-0.0001726801063410971,-0.029478949998572763,-0.026543839951992894,-0.009232376599165275,-0.02024657339940749,-0.010721089977171487,-0.00646384304854525,-0.01599494985991319,0.013716209293024372,0.017808420706886447,0.016512562508145583,0.02166786393264487,-0.01822220375533857,-0.024723105126619963,0.008919303272667514,-0.005658939779639321,0.01798143662324753,0.0013645581263219,-0.03960209036816072,-0.027963211853660977,0.7305039077343236,0.8427367559948578
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GLM,hc_values_map_agg_hat_1_new.parquet,0.02271065149752787,0.028542390244865753,-0.024884335343975578,0.04759498684150345,0.05969410949786185,0.06559794416697932,-0.021323809636921705,0.08101791913478355,0.0717205025570195,0.07132305735132845,-0.004222576837649189,0.05041937375413911,0.10408223464800051,0.057079492061702874,0.09838449130380353,-0.05000619375487654,-0.012273346340532782,-0.02124304120665569,0.11151567310320425,-0.01734468902991008,0.11323529441177736,-0.011591470849993258,-0.031236967578204107,2.745354996171921,2.9057953406705357
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GLM,hc_values_map_agg_standard_1_new.parquet,0.035764834404962184,0.041271539862393965,-0.024637680471863238,0.06040251487682542,0.059633596618741194,0.06558763662721391,-0.021441745461490268,0.08107534208023146,0.0876360645998313,0.08696357192719807,-0.004420252984090781,0.06254226894876669,0.11835752230977155,0.06884223820692884,0.11245446597171593,-0.05282823003116998,-0.01666373891195119,-0.013308983206680556,0.11808833651421,-0.009224322588114932,0.12008265131005078,-0.014088236281229984,-0.03378909140389587,2.9223558088233803,3.033691714718794
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,StudentT,hc_values_per_expert_standard_1_new.parquet,0.007305234722078234,0.010784944208302005,-0.014350753432955533,0.021655988155033768,-0.02473248280885434,-0.02304863907475601,-0.004624124236147259,-0.020108358572707083,-0.008020083376364381,-0.0027016232510475805,-0.020399657459700626,0.03445348885124912,0.017032767350679993,0.03517162029162191,0.02340547085097213,-0.016190544224353298,-0.03624784430329973,0.048227187812067085,-0.000850264227044324,0.05914440445020541,0.0044796338447173805,-0.0558458454689541,-0.021911090846100156,0.9609098232486134,0.842961953923431
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,StudentT,hc_values_per_expert_hat_1_new.parquet,0.006640915260128218,0.008900893144051722,-0.009471433705096254,0.016112348965224472,-0.011743715770032961,-0.00979862775835574,-0.005556022864181628,-0.006187692905851333,-0.0063789329770916345,-0.0028538637018301113,-0.013436061022427129,0.031428710320229855,0.015831623964861097,0.03185628658820086,0.020793876054497208,-0.013701880390139722,-0.02918384042371352,0.04732172741628875,0.00899413910133828,0.05800869130259374,0.015144374410036127,-0.05469225878550839,-0.02739828676933164,0.7736133937592968,0.8275641074088104
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,StudentT,hc_values_map_agg_hat_1_new.parquet,0.015383407669203191,0.021435045271831318,-0.025171006467373268,0.040554414136576455,0.059556334194553494,0.06544504643699865,-0.021327955449997042,0.08088428964455054,0.06622728251563395,0.06523606584125353,-0.0014365361842039873,0.04611068701331555,0.09976943572901764,0.052567204275554,0.09311806442453927,-0.04744763057237235,-0.006171785441762169,-0.0235902576149242,0.1094216818397525,-0.020127479165578284,0.11023313526307542,-0.009271500122481376,-0.027091094244721822,2.8902501696021012,3.0244814056601026
